0,40.56642203,-74.05050806
0,40.56641739,-74.05047137
0,40.56641746,-74.05030321
0,40.56640588,-74.05012587
0,40.56639592,-74.04998353
0,40.56588775,-74.0493164
0,40.56536274,-74.0492363
0,40.56531818,-74.0500262
0,40.56588713,-74.0507441
0,40.56595408,-74.05074769
0,40.56599212,-74.05073224
0,40.56603277,-74.05073571
0,40.5660522,-74.05080327
0,40.56608124,-74.05087333
0,40.56609434,-74.05090602
0,40.56613368,-74.05091293
0,40.56617829,-74.050882
0,40.56618956,-74.0508525
0,40.56619667,-74.05083386
0,40.56619933,-74.05076507
0,40.56619411,-74.05070832
0,40.56621772,-74.0506877
0,40.5662374,-74.05068255
0,40.56627019,-74.05068258
0,40.56631085,-74.05067917
0,40.56636068,-74.0506964
0,40.56639476,-74.05073427
0,40.56643146,-74.05078417
0,40.56646947,-74.05083923
0,40.56648781,-74.05088396
0,40.56652845,-74.05093386
0,40.5665586,-74.05097
0,40.56657676,-74.05099129
0,40.5665953,-74.05101303
0,40.5666189,-74.05103884
0,40.56665692,-74.05105607
0,40.56667921,-74.051075
0,40.56670282,-74.0510733
0,40.56672249,-74.0510716
0,40.56673812,-74.05104913
0,40.56669558,-74.05091665
0,40.56664339,-74.05085067
0,40.56658514,-74.0507589
0,40.5665502,-74.05066715
0,40.56650826,-74.05061514
0,40.56644067,-74.05053865
0,40.56642203,-74.05050806
0.1,40.57770272,-74.05314037
0.1,40.57711645,-74.05406045
0.1,40.57778244,-74.05489778
0.1,40.57969163,-74.05469317
0.1,40.57970759,-74.05485135
0.1,40.57994579,-74.0548456
0.1,40.58054876,-74.05368629
0.1,40.57990247,-74.05293191
0.1,40.57770272,-74.05314037
0.2,40.64144833,-74.15945602
0.2,40.64141653,-74.15974816
0.2,40.64144648,-74.15997876
0.2,40.64149468,-74.16014978
0.2,40.64157618,-74.16032486
0.2,40.64164362,-74.16046973
0.2,40.64166664,-74.16058342
0.2,40.64168952,-74.16069638
0.2,40.64173903,-74.16077833
0.2,40.64175407,-74.16085389
0.2,40.64178724,-74.16094538
0.2,40.64179924,-74.1610249
0.2,40.64183545,-74.16111243
0.2,40.64191165,-74.16114205
0.2,40.64200661,-74.16117897
0.2,40.64213206,-74.16117674
0.2,40.64225617,-74.16119293
0.2,40.64235864,-74.16120631
0.2,40.64266337,-74.16120187
0.2,40.64281167,-74.16123005
0.2,40.64294256,-74.16125492
0.2,40.64342646,-74.16134687
0.2,40.64366821,-74.16139281
0.2,40.6439037,-74.16143754
0.2,40.64410153,-74.16147514
0.2,40.64429497,-74.16146036
0.2,40.64386179,-74.1579876
0.2,40.64381302,-74.15797127
0.2,40.64374876,-74.15791349
0.2,40.64369662,-74.15785176
0.2,40.64366261,-74.15782088
0.2,40.64363087,-74.15777609
0.2,40.64357342,-74.15773024
0.2,40.64348425,-74.15762669
0.2,40.64337992,-74.15750555
0.2,40.64330286,-74.15743349
0.2,40.64323478,-74.15755899
0.2,40.64321015,-74.15770554
0.2,40.64314639,-74.1578286
0.2,40.64308269,-74.15791589
0.2,40.64298874,-74.15799119
0.2,40.64286756,-74.15805052
0.2,40.64275854,-74.15807014
0.2,40.64268885,-74.15810573
0.2,40.64263253,-74.15813452
0.2,40.64260092,-74.15819893
0.2,40.64256338,-74.15827544
0.2,40.6425416,-74.15840348
0.2,40.64253847,-74.15848496
0.2,40.6424975,-74.15855044
0.2,40.64242935,-74.15857611
0.2,40.64230511,-74.15866126
0.2,40.64219001,-74.15869279
0.2,40.64200384,-74.15874378
0.2,40.64175863,-74.15881094
0.2,40.6416504,-74.15920025
0.2,40.64155639,-74.15931926
0.2,40.64144833,-74.15945602
0.3,40.64828016,-74.08221273
0.3,40.64827811,-74.08212394
0.3,40.64830775,-74.08204629
0.3,40.64837339,-74.08186604
0.3,40.64842426,-74.08165246
0.3,40.64850473,-74.08142228
0.3,40.64849094,-74.08135604
0.3,40.64834868,-74.08095598
0.3,40.64827487,-74.08072839
0.3,40.64824551,-74.08051824
0.3,40.64838331,-74.07980996
0.3,40.64818633,-74.07923253
0.3,40.64814255,-74.07899546
0.3,40.64719986,-74.07708658
0.3,40.64720585,-74.07699341
0.3,40.64708052,-74.07682896
0.3,40.64696882,-74.07650657
0.3,40.64672388,-74.07620923
0.3,40.64655202,-74.07599223
0.3,40.64591302,-74.07530767
0.3,40.64506749,-74.07445283
0.3,40.64508433,-74.07407812
0.3,40.64519321,-74.0739584
0.3,40.64514782,-74.07387258
0.3,40.64499893,-74.07359108
0.3,40.64508337,-74.07349851
0.3,40.64531335,-74.07375861
0.3,40.64528571,-74.07380088
0.3,40.64531177,-74.07382911
0.3,40.6453563,-74.0737788
0.3,40.64540738,-74.07383419
0.3,40.64542482,-74.07385654
0.3,40.64544348,-74.07382143
0.3,40.64578312,-74.07333814
0.3,40.64570493,-74.07324539
0.3,40.64554981,-74.07348694
0.3,40.64548848,-74.07341839
0.3,40.64530573,-74.07369012
0.3,40.64510794,-74.0734643
0.3,40.64503438,-74.07333329
0.3,40.6450221,-74.07334939
0.3,40.64496386,-74.07323854
0.3,40.64514503,-74.07305745
0.3,40.64513124,-74.07302521
0.3,40.64494394,-74.07320226
0.3,40.64483868,-74.0730124
0.3,40.64480792,-74.0730556
0.3,40.64501592,-74.07341384
0.3,40.64500057,-74.07342591
0.3,40.64491628,-74.07327273
0.3,40.64485026,-74.07334517
0.3,40.6447148,-74.07312184
0.3,40.64486407,-74.07292585
0.3,40.64484418,-74.07287964
0.3,40.64491012,-74.0727985
0.3,40.64479086,-74.07258776
