Staten Island,40.567269,-74.172821,SI,5c3ce7,4,75,445
Bronx,40.83172,-73.910522,BX,e73c3c,24,485,0
Manhattan,40.757904,-74.010386,MN,3c95e7,31,340,64
Brooklyn,40.630874,-73.99292,BK,e78c3c,27,345,295
Queens,40.7112,-73.8648,QN,2fb55c,18,448,189
